Code,Title,Description
shelteredWorkshop,Sheltered workshop,"Participation is reserved to sheltered workshops and economic operators aiming at the social and professional integration of disabled or disadvantaged persons."
publicService,Public service,"Participation is reserved to organizations pursuing a public service mission and fulfilling other relevant conditions in the legislation."
